Gender_x,Age,Profession,Work_Experience,Family_Size,Spending_Score,Cost_of_the_Product,Prior_purchases,Discount_offered,Ever_Married,Graduated,Var_1
Male,25,Healthcare,9.0,4.0,Low,238,3,61,No,Yes,Cat_6
Male,32,Doctor,8.0,2.0,Low,193,3,29,No,,Cat_6
Female,45,Artist,1.0,3.0,Average,141,3,41,Yes,Yes,Cat_3
Male,72,Lawyer,1.0,0.0,Low,150,3,17,Yes,Yes,Cat_4
Male,48,Artist,0.0,2.0,Average,221,3,64,Yes,Yes,Cat_6
Male,55,Artist,9.0,2.0,Average,179,3,52,Yes,Yes,Cat_1
Male,74,Lawyer,0.0,3.0,High,105,6,62,Yes,Yes,Cat_6
Male,56,Lawyer,1.0,2.0,High,177,3,61,Yes,Yes,Cat_6
Male,59,Lawyer,7.0,2.0,High,261,2,49,Yes,Yes,Cat_6
Male,25,Entertainment,0.0,2.0,Low,202,3,49,No,Yes,Cat_6
Male,31,Doctor,0.0,2.0,Average,109,3,15,Yes,Yes,Cat_6
Male,27,Artist,8.0,4.0,Low,158,3,6,No,No,Cat_6
Male,57,Artist,0.0,4.0,Average,231,4,6,Yes,Yes,Cat_6
Female,39,Homemaker,0.0,2.0,High,206,3,39,Yes,Yes,Cat_6
Male,27,Healthcare,8.0,2.0,Low,187,4,14,Yes,Yes,Cat_6
Female,51,Entertainment,8.0,2.0,Average,230,2,2,Yes,Yes,Cat_6
Female,47,Artist,0.0,5.0,Average,232,3,33,Yes,No,Cat_6
Female,33,Healthcare,8.0,4.0,Low,215,3,21,No,No,Cat_6
Male,56,Artist,0.0,4.0,Average,238,6,13,Yes,Yes,Cat_6
Female,33,Homemaker,0.0,3.0,Low,266,3,23,No,No,Cat_6
Female,36,Doctor,0.0,2.0,Low,158,2,36,No,Yes,Cat_6
Male,51,Artist,4.0,3.0,Low,113,3,43,Yes,No,Cat_4
Male,45,Engineer,2.0,2.0,Average,223,3,18,Yes,Yes,Cat_6
Male,30,Healthcare,0.0,4.0,Low,180,2,49,No,No,Cat_6
Female,26,Healthcare,6.0,3.0,Low,132,3,18,No,No,Cat_5
Male,63,Artist,8.0,1.0,Low,217,3,26,Yes,Yes,Cat_6
Male,35,Entertainment,8.0,4.0,Average,162,3,31,Yes,No,Cat_3
Female,19,Marketing,1.0,3.0,Low,197,2,40,No,No,Cat_4
Male,32,Healthcare,7.0,5.0,Low,197,3,13,No,No,Cat_6
Male,52,Artist,0.0,3.0,Average,185,2,44,Yes,Yes,Cat_6
Female,36,Artist,5.0,2.0,Low,278,3,3,Yes,Yes,Cat_6
Female,42,Entertainment,7.0,3.0,Low,229,3,49,No,No,Cat_4
Male,40,Doctor,0.0,2.0,Average,186,4,57,Yes,No,Cat_3
Male,39,Entertainment,0.0,3.0,Low,174,6,41,No,Yes,Cat_1
Female,47,Artist,1.0,4.0,Average,286,3,18,Yes,Yes,Cat_3
Female,61,Artist,1.0,2.0,High,175,2,7,Yes,Yes,Cat_6
Male,32,Entertainment,1.0,2.0,Low,219,3,17,Yes,No,Cat_3
Male,55,Artist,0.0,1.0,Low,213,4,35,Yes,No,Cat_6
Male,58,Artist,0.0,1.0,Average,235,3,57,Yes,Yes,Cat_6
Female,38,Artist,0.0,1.0,Low,149,2,18,No,Yes,Cat_6
Male,63,Artist,0.0,2.0,High,271,2,8,Yes,Yes,Cat_6
Male,58,Doctor,1.0,2.0,Average,144,4,5,Yes,Yes,Cat_6
Male,30,Engineer,3.0,3.0,Average,145,2,21,Yes,No,Cat_4
Male,60,Artist,0.0,4.0,Average,143,2,59,Yes,Yes,Cat_6
Male,68,Executive,1.0,7.0,High,227,4,53,Yes,No,Cat_6
Male,52,Artist,0.0,3.0,Low,213,3,29,Yes,No,Cat_4
Male,38,Executive,0.0,5.0,High,144,4,37,Yes,No,Cat_6
Female,35,Healthcare,10.0,2.0,Low,218,3,3,Yes,Yes,Cat_6
Male,18,Doctor,1.0,2.0,Low,144,3,59,No,No,Cat_6
Male,30,Homemaker,3.0,2.0,Low,238,3,17,Yes,Yes,Cat_1
Male,86,Lawyer,1.0,1.0,Low,216,3,26,No,No,Cat_6
Female,19,Healthcare,6.0,5.0,Low,238,3,55,,No,Cat_3
Male,25,Healthcare,9.0,3.0,Low,141,3,47,No,No,Cat_6
Male,59,Entertainment,0.0,4.0,Low,158,2,2,Yes,Yes,Cat_4
Female,39,Artist,0.0,1.0,Low,239,3,65,No,Yes,Cat_6
Female,50,Doctor,1.0,0.0,Low,175,2,25,Yes,Yes,Cat_6
Male,47,Artist,1.0,1.0,Low,263,3,41,No,Yes,Cat_6
Male,43,Executive,0.0,3.0,High,168,2,50,Yes,Yes,Cat_6
Male,36,Executive,8.0,4.0,Average,176,3,36,Yes,No,Cat_1
Male,80,Lawyer,1.0,1.0,Low,150,4,60,Yes,No,Cat_6
Male,36,Artist,0.0,2.0,Low,265,2,31,No,Yes,Cat_2
Female,37,Artist,1.0,2.0,High,145,3,20,Yes,Yes,Cat_7
Male,46,Executive,0.0,3.0,High,183,3,33,Yes,Yes,Cat_6
Male,55,Executive,1.0,4.0,High,205,3,19,Yes,No,Cat_3
Female,47,Engineer,9.0,4.0,Average,160,3,64,Yes,No,Cat_4
Female,28,Healthcare,1.0,3.0,Low,252,2,48,No,Yes,Cat_3
Male,39,Entertainment,9.0,2.0,Low,222,3,10,Yes,No,Cat_3
Female,27,Marketing,1.0,2.0,Low,203,2,25,Yes,No,Cat_6
Female,42,Engineer,0.0,0.0,Low,220,3,40,Yes,No,Cat_6
Male,72,Artist,0.0,2.0,Average,147,4,60,Yes,Yes,Cat_6
Female,28,Engineer,0.0,2.0,Low,200,4,16,Yes,Yes,Cat_6
Male,35,Entertainment,8.0,5.0,Low,224,4,21,No,Yes,Cat_6
Male,39,Executive,9.0,5.0,High,179,2,17,Yes,Yes,Cat_2
Female,69,Lawyer,0.0,2.0,High,144,3,50,Yes,Yes,Cat_6
Male,18,Healthcare,6.0,4.0,Low,247,3,17,No,No,Cat_4
Male,46,Artist,0.0,1.0,Low,280,6,51,Yes,Yes,Cat_6
Female,50,Engineer,1.0,2.0,High,168,2,1,Yes,Yes,Cat_4
Male,30,Executive,5.0,5.0,Low,157,3,4,No,No,Cat_6
Female,41,Artist,0.0,2.0,Low,189,4,51,No,No,Cat_6
Female,39,Artist,3.0,4.0,Low,162,2,7,No,Yes,Cat_6
Female,29,Marketing,8.0,4.0,Low,207,5,48,No,No,Cat_6
Female,37,Artist,4.0,4.0,Low,237,2,10,Yes,Yes,Cat_5
Female,39,Engineer,0.0,2.0,Average,264,3,59,Yes,Yes,Cat_6
Female,48,Artist,0.0,5.0,Average,149,3,51,Yes,Yes,Cat_7
Female,32,Doctor,0.0,3.0,Low,162,3,41,No,Yes,Cat_6
Male,78,Lawyer,1.0,0.0,Low,205,4,63,Yes,No,Cat_6
Female,43,Engineer,0.0,5.0,Average,158,3,51,Yes,No,Cat_4
Male,29,Marketing,8.0,5.0,Low,248,2,46,No,No,Cat_6
Female,28,Engineer,9.0,2.0,Average,191,3,23,Yes,No,Cat_4
Male,80,Lawyer,1.0,1.0,Low,146,4,24,Yes,Yes,Cat_6
Female,28,Healthcare,7.0,4.0,Low,135,3,56,No,Yes,Cat_6
Male,71,Artist,6.0,3.0,Average,149,3,40,Yes,Yes,Cat_6
Male,67,Lawyer,0.0,9.0,High,220,2,7,Yes,No,Cat_4
Female,26,Engineer,0.0,1.0,Low,98,5,44,No,No,Cat_2
Female,47,Engineer,0.0,2.0,Average,97,4,32,Yes,Yes,Cat_6
Female,43,Artist,2.0,2.0,Average,183,2,53,Yes,Yes,Cat_6
Female,27,Healthcare,0.0,4.0,Low,162,3,8,No,Yes,Cat_6
Female,45,Marketing,8.0,4.0,Low,114,4,47,Yes,Yes,Cat_6
Male,76,Executive,1.0,1.0,Low,275,5,41,Yes,No,Cat_6
Female,43,Artist,3.0,4.0,Average,203,2,39,Yes,Yes,Cat_6
Female,78,Lawyer,1.0,2.0,High,205,2,65,Yes,Yes,Cat_6
Male,35,Artist,3.0,3.0,Average,149,3,63,Yes,Yes,Cat_6
Female,49,Artist,1.0,1.0,Low,112,4,56,No,Yes,Cat_6
Female,25,Healthcare,1.0,5.0,Low,207,3,56,No,Yes,Cat_6
Male,37,Executive,0.0,5.0,Average,261,4,58,Yes,No,Cat_6
Female,32,Healthcare,1.0,5.0,Low,274,3,6,No,No,
Male,60,Doctor,0.0,2.0,Average,141,2,52,Yes,Yes,Cat_6
Female,45,Artist,5.0,3.0,Average,166,4,17,Yes,Yes,Cat_6
Female,49,Homemaker,9.0,3.0,Average,141,3,34,Yes,Yes,Cat_6
Male,32,Artist,0.0,5.0,Low,152,3,43,No,Yes,Cat_6
Female,40,Artist,0.0,3.0,Low,250,3,53,Yes,Yes,Cat_3
Male,59,Artist,2.0,2.0,Average,161,3,28,Yes,No,Cat_4
Male,48,Artist,3.0,5.0,Low,185,3,10,Yes,Yes,Cat_6
Male,82,Executive,0.0,2.0,High,176,4,52,Yes,Yes,Cat_6
Female,70,Lawyer,0.0,2.0,Low,148,3,56,Yes,Yes,Cat_6
Male,31,Artist,5.0,2.0,Low,270,3,63,No,Yes,Cat_6
Female,72,Lawyer,0.0,2.0,High,242,3,51,Yes,Yes,Cat_6
Male,50,Artist,3.0,4.0,Average,150,2,3,Yes,Yes,Cat_6
Female,23,Engineer,11.0,1.0,Low,192,3,20,No,No,Cat_3
Female,20,Healthcare,2.0,6.0,Low,116,3,54,No,No,Cat_6
Female,22,Healthcare,4.0,3.0,Low,192,3,2,No,No,Cat_6
Female,31,Engineer,8.0,1.0,Low,255,4,3,No,Yes,Cat_6
Female,36,Artist,7.0,2.0,Average,161,7,18,Yes,Yes,Cat_6
Male,52,Entertainment,0.0,5.0,Average,157,3,20,Yes,No,Cat_4
Female,29,Artist,0.0,1.0,Low,164,10,28,No,Yes,Cat_4
Male,40,Artist,4.0,4.0,Average,162,7,16,Yes,Yes,Cat_6
Female,40,Artist,1.0,1.0,Low,146,2,50,No,Yes,Cat_6
Male,38,Artist,0.0,2.0,Low,209,3,54,Yes,Yes,Cat_6
Female,85,Lawyer,0.0,0.0,Low,134,2,55,Yes,No,
Female,21,Doctor,1.0,3.0,Low,222,2,5,No,No,Cat_7
Female,41,Engineer,4.0,2.0,Average,139,3,27,Yes,No,Cat_6
Male,40,Artist,0.0,2.0,Low,134,3,42,Yes,Yes,Cat_6
Male,53,Artist,1.0,3.0,Average,130,3,16,Yes,Yes,Cat_6
Female,42,Artist,5.0,2.0,Low,133,3,62,Yes,Yes,Cat_6
Male,42,Executive,8.0,2.0,Low,140,3,7,Yes,No,Cat_6
Male,48,Artist,0.0,4.0,Average,158,3,28,Yes,Yes,Cat_7
Male,59,Artist,7.0,2.0,Low,270,4,46,Yes,Yes,Cat_6
Male,41,Executive,1.0,3.0,Average,140,3,30,Yes,Yes,Cat_6
Female,31,Artist,0.0,2.0,Average,135,3,15,Yes,Yes,Cat_6
Female,49,Artist,1.0,5.0,High,136,3,19,Yes,Yes,Cat_6
Male,67,Executive,1.0,2.0,Low,142,3,38,Yes,Yes,Cat_6
Male,35,Artist,4.0,2.0,Average,154,3,38,Yes,No,Cat_6
Female,26,Healthcare,0.0,3.0,Low,139,3,9,No,Yes,Cat_6
Male,19,Healthcare,9.0,3.0,Low,160,3,43,,No,Cat_3
Female,25,Engineer,6.0,8.0,Average,134,3,58,Yes,No,Cat_4
Female,39,Healthcare,4.0,2.0,Low,161,5,48,Yes,Yes,Cat_6
Male,63,Entertainment,0.0,2.0,Low,155,3,23,Yes,Yes,Cat_6
Male,23,Healthcare,8.0,3.0,Low,145,3,24,No,No,Cat_6
Female,23,Healthcare,0.0,3.0,Low,157,3,1,No,No,Cat_3
Female,53,Artist,2.0,1.0,Low,160,3,48,Yes,Yes,Cat_6
Male,33,Doctor,0.0,2.0,Low,152,3,55,No,Yes,Cat_6
Female,50,Engineer,0.0,4.0,Average,148,3,11,Yes,No,Cat_2
Female,69,Engineer,0.0,2.0,Low,127,3,15,Yes,Yes,Cat_4
Male,37,Artist,2.0,1.0,Low,154,3,21,No,Yes,Cat_6
Female,20,Marketing,3.0,4.0,Low,127,3,44,No,No,Cat_7
Female,85,Lawyer,0.0,1.0,High,160,3,31,,No,Cat_3
Female,49,Doctor,1.0,4.0,Average,129,3,48,Yes,Yes,Cat_6
Male,18,Healthcare,0.0,3.0,Low,158,3,40,No,No,Cat_3
Female,52,Doctor,0.0,2.0,Average,185,3,3,Yes,Yes,Cat_6
Male,25,Doctor,0.0,2.0,Average,176,4,63,Yes,No,Cat_4
Male,56,Executive,0.0,2.0,High,148,3,37,Yes,No,Cat_6
Female,35,Artist,0.0,3.0,Low,242,3,29,No,,Cat_6
Male,28,Engineer,0.0,2.0,Average,150,2,31,Yes,Yes,Cat_6
Female,28,Artist,7.0,3.0,Low,192,3,4,No,Yes,Cat_6
Male,20,Healthcare,0.0,5.0,Low,116,3,9,No,No,Cat_7
Female,27,Homemaker,8.0,1.0,Low,192,3,31,No,No,Cat_3
Female,56,Engineer,0.0,1.0,Low,255,4,38,No,No,Cat_6
Male,45,Artist,4.0,4.0,Average,161,7,63,Yes,Yes,Cat_6
Male,25,Healthcare,1.0,4.0,Low,157,3,48,No,Yes,Cat_4
Male,40,Marketing,1.0,1.0,Low,164,10,14,No,No,Cat_4
Female,25,Healthcare,0.0,2.0,Low,162,7,42,Yes,Yes,Cat_6
Female,74,Lawyer,0.0,2.0,High,146,2,54,Yes,No,Cat_6
Female,23,Healthcare,0.0,4.0,Low,209,3,60,No,No,
Female,67,Lawyer,0.0,2.0,High,134,2,53,Yes,Yes,Cat_6
Male,21,Healthcare,0.0,4.0,Low,222,2,58,No,No,
Female,38,Artist,9.0,1.0,Low,139,3,39,No,Yes,Cat_3
Male,28,Healthcare,0.0,4.0,Low,134,3,38,No,No,Cat_2
Female,32,Healthcare,1.0,5.0,Low,130,3,48,No,No,Cat_7
Female,56,Lawyer,1.0,4.0,High,140,3,23,Yes,No,Cat_4
Female,53,Artist,1.0,2.0,Low,158,3,10,Yes,Yes,Cat_6
Male,57,Executive,1.0,5.0,High,270,4,65,Yes,No,Cat_6
Female,59,Artist,0.0,3.0,Average,140,3,33,Yes,Yes,Cat_6
Female,25,Healthcare,1.0,4.0,High,135,3,58,Yes,Yes,Cat_4
Male,59,Artist,0.0,6.0,Average,136,3,43,Yes,Yes,Cat_6
Female,36,Artist,0.0,4.0,Low,142,3,8,Yes,Yes,Cat_6
Male,37,Entertainment,7.0,2.0,Low,154,3,48,Yes,Yes,Cat_6
Male,22,Doctor,1.0,3.0,Low,139,3,3,No,No,Cat_2
Male,43,Artist,1.0,2.0,Low,160,3,50,Yes,Yes,Cat_6
Male,41,Artist,1.0,2.0,Low,134,3,38,Yes,Yes,Cat_4
Female,21,Engineer,0.0,5.0,Low,161,5,54,No,No,Cat_2
Female,49,Engineer,1.0,0.0,Low,155,3,45,No,No,Cat_7
Male,38,Doctor,8.0,1.0,Low,145,3,5,No,Yes,Cat_2
Male,47,Artist,0.0,4.0,Average,157,3,58,Yes,No,Cat_6
Male,70,Lawyer,1.0,3.0,High,160,3,19,Yes,Yes,Cat_6
Female,31,Engineer,1.0,4.0,Low,152,3,61,No,No,Cat_6
Female,82,Lawyer,0.0,2.0,Average,148,3,35,Yes,No,Cat_6
Female,51,Executive,0.0,1.0,Low,127,3,13,Yes,No,Cat_6
Female,42,Homemaker,11.0,0.0,Low,129,3,22,No,No,Cat_6
Male,38,Artist,8.0,3.0,Low,158,3,13,No,Yes,Cat_2
Male,18,Executive,0.0,4.0,High,147,3,5,Yes,No,Cat_6
Male,50,Artist,6.0,3.0,Average,159,3,49,Yes,Yes,Cat_6
Female,46,Doctor,1.0,0.0,Low,151,3,23,No,Yes,Cat_3
Female,72,Lawyer,1.0,3.0,High,294,4,52,Yes,No,Cat_6
Female,33,Engineer,0.0,4.0,Low,226,2,45,No,No,Cat_6
Female,25,Homemaker,1.0,7.0,Low,271,5,9,No,No,Cat_4
Female,75,Entertainment,2.0,2.0,High,203,5,61,Yes,No,Cat_2
Male,72,Artist,1.0,1.0,Low,264,4,10,No,Yes,Cat_6
Female,72,Artist,0.0,3.0,Average,258,3,36,Yes,Yes,Cat_4
Male,36,Entertainment,6.0,6.0,Low,241,3,21,Yes,Yes,Cat_4
Male,40,Artist,1.0,2.0,Low,208,3,23,Yes,Yes,Cat_6
Female,28,Entertainment,0.0,4.0,Low,209,5,12,No,Yes,Cat_6
Female,28,Doctor,0.0,3.0,Low,182,2,23,No,Yes,Cat_6
Male,19,Entertainment,0.0,3.0,High,148,2,43,,No,Cat_4
Male,43,Artist,0.0,2.0,Low,183,2,52,Yes,Yes,Cat_4
Female,35,Artist,1.0,2.0,Average,229,6,22,Yes,Yes,Cat_6
Male,65,Lawyer,1.0,2.0,High,115,5,26,Yes,Yes,Cat_6
Male,52,Executive,7.0,4.0,High,136,3,65,Yes,Yes,Cat_4
Female,40,Artist,1.0,1.0,Low,212,3,21,No,Yes,Cat_6
Female,69,Engineer,9.0,3.0,Low,171,3,24,Yes,No,Cat_6
Female,22,Healthcare,3.0,3.0,Low,151,2,60,No,No,Cat_6
Male,47,Executive,1.0,4.0,Average,205,3,39,Yes,Yes,Cat_6
Male,29,Marketing,1.0,2.0,High,147,3,23,Yes,Yes,Cat_3
Male,46,Artist,1.0,3.0,Average,155,3,29,Yes,Yes,Cat_3
Male,32,Artist,1.0,2.0,Low,165,3,20,No,Yes,Cat_6
Female,38,Healthcare,0.0,1.0,Low,230,3,32,No,Yes,Cat_2
Male,59,Artist,0.0,1.0,Low,181,4,13,Yes,Yes,Cat_6
Female,26,Entertainment,1.0,1.0,Low,234,2,55,No,Yes,Cat_6
Male,26,Healthcare,1.0,2.0,Low,149,3,34,No,Yes,Cat_3
Male,28,Marketing,0.0,1.0,Low,156,2,44,No,No,Cat_3
Female,53,Engineer,1.0,3.0,Average,172,3,59,Yes,Yes,Cat_6
Female,43,Entertainment,0.0,1.0,Low,270,3,12,No,,Cat_6
Male,27,Doctor,1.0,3.0,Low,206,3,23,No,No,Cat_6
Female,32,Artist,0.0,8.0,Low,211,4,40,No,No,Cat_6
Male,26,Engineer,0.0,4.0,Low,136,4,62,No,No,Cat_4
Female,31,Entertainment,0.0,2.0,Low,186,2,52,No,No,Cat_6
Male,39,Executive,1.0,3.0,High,202,2,62,Yes,Yes,Cat_3
Female,43,Engineer,1.0,3.0,Low,183,3,12,Yes,No,Cat_7
Male,25,Doctor,1.0,2.0,Low,232,2,36,Yes,No,Cat_1
Male,40,Artist,3.0,3.0,High,147,4,52,Yes,Yes,Cat_6
Female,40,Entertainment,7.0,2.0,Average,136,3,20,Yes,Yes,Cat_3
Male,63,Entertainment,0.0,3.0,Average,127,3,43,Yes,Yes,Cat_6
Female,27,Healthcare,0.0,2.0,Low,202,2,35,Yes,Yes,Cat_6
Male,27,Healthcare,1.0,3.0,Low,241,2,57,No,Yes,Cat_6
Female,19,Healthcare,1.0,2.0,Low,222,2,55,No,No,Cat_6
Female,86,Lawyer,0.0,2.0,High,183,4,12,Yes,Yes,Cat_6
Male,41,Marketing,0.0,2.0,High,249,3,36,Yes,Yes,Cat_6
Female,27,Artist,4.0,2.0,Average,243,4,59,Yes,Yes,Cat_3
Female,70,Doctor,0.0,2.0,Average,163,3,9,Yes,No,Cat_6
Female,53,Engineer,8.0,4.0,Average,165,2,11,Yes,No,Cat_4
Female,49,Engineer,0.0,4.0,Average,266,3,53,Yes,No,Cat_4
Male,55,Executive,3.0,0.0,Low,193,2,48,Yes,No,Cat_4
Female,57,Engineer,0.0,4.0,Average,154,3,56,,Yes,Cat_2
Male,83,Lawyer,0.0,1.0,Low,140,3,51,Yes,No,Cat_4
Male,43,Executive,0.0,4.0,High,272,3,38,Yes,No,Cat_6
Male,36,Doctor,6.0,3.0,Low,143,6,20,Yes,No,Cat_6
Male,74,Lawyer,0.0,2.0,Low,138,3,30,Yes,Yes,Cat_6
Female,30,Homemaker,0.0,4.0,Low,238,2,17,No,No,Cat_6
Female,37,Artist,5.0,2.0,Low,273,4,31,No,Yes,Cat_6
Female,22,Marketing,0.0,1.0,Low,200,2,27,No,No,Cat_5
Male,19,Healthcare,0.0,4.0,Low,213,4,39,No,No,Cat_6
Male,70,Engineer,4.0,2.0,High,224,2,15,Yes,Yes,Cat_6
Male,89,Lawyer,13.0,1.0,Low,141,3,12,Yes,Yes,Cat_6
Male,18,Healthcare,0.0,4.0,Low,150,3,46,No,No,Cat_6
Male,25,Doctor,6.0,1.0,Low,192,2,33,No,Yes,Cat_2
Female,45,Artist,4.0,1.0,Low,279,4,24,No,Yes,Cat_3
Female,35,Artist,3.0,1.0,Low,246,3,30,No,Yes,Cat_4
Female,37,Engineer,7.0,1.0,Low,173,3,52,Yes,No,Cat_4
Female,39,Engineer,4.0,2.0,Average,233,4,59,Yes,No,Cat_6
Female,32,Healthcare,1.0,5.0,Low,274,2,24,No,Yes,Cat_4
Female,62,Artist,2.0,3.0,Average,243,4,41,Yes,Yes,Cat_6
Female,58,Engineer,0.0,4.0,Average,197,3,56,Yes,Yes,Cat_4
Female,32,Engineer,0.0,4.0,Low,140,3,46,No,No,Cat_6
Male,25,Healthcare,0.0,5.0,Low,215,3,22,No,No,Cat_6
Female,56,Artist,0.0,4.0,Average,211,3,8,Yes,Yes,Cat_6
Female,36,Entertainment,10.0,2.0,Low,220,5,33,No,Yes,Cat_6
Female,30,Healthcare,8.0,3.0,Low,194,4,64,No,No,Cat_6
Male,19,Healthcare,1.0,5.0,Low,262,3,58,No,No,Cat_6
Male,27,Healthcare,0.0,2.0,Low,201,2,1,No,Yes,Cat_6
Female,38,Doctor,14.0,1.0,Low,261,3,15,No,Yes,Cat_6
Male,46,Artist,8.0,2.0,Average,191,6,60,Yes,Yes,Cat_6
Male,29,Artist,3.0,1.0,Low,255,5,53,No,Yes,Cat_6
Male,51,Entertainment,1.0,4.0,Average,169,2,30,Yes,No,Cat_7
Male,55,Artist,0.0,1.0,Low,162,2,64,Yes,No,Cat_6
Female,69,Engineer,1.0,1.0,Low,248,6,62,Yes,Yes,Cat_3
Female,26,Healthcare,1.0,8.0,Low,197,4,2,No,No,Cat_7
Female,83,Lawyer,0.0,3.0,Low,264,3,6,Yes,Yes,Cat_6
Female,39,Healthcare,9.0,1.0,Low,260,2,55,No,Yes,Cat_6
Male,35,Artist,9.0,1.0,Low,186,2,58,Yes,Yes,Cat_6
Male,19,Marketing,2.0,5.0,High,233,4,44,Yes,No,Cat_6
Female,60,Artist,0.0,4.0,High,161,3,47,Yes,Yes,Cat_6
Male,35,Artist,0.0,4.0,Average,188,3,13,Yes,Yes,Cat_6
Female,53,Engineer,0.0,1.0,Low,171,2,22,No,Yes,Cat_6
Female,86,Lawyer,0.0,0.0,Low,267,3,15,Yes,No,Cat_6
Female,29,Healthcare,1.0,3.0,Low,255,2,47,No,No,Cat_6
Female,26,Doctor,0.0,1.0,Low,132,3,56,No,No,Cat_6
Male,36,Engineer,8.0,1.0,Low,266,3,31,No,Yes,Cat_6
Female,22,Homemaker,0.0,4.0,Low,198,2,25,No,No,Cat_6
Male,19,Marketing,0.0,5.0,Low,247,2,62,No,No,Cat_6
