Laptop,Brand,Price,Profession,Normalized
"MSI Vector GP77 13VF-022XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/17.3""",MSI,2249.0,Marketing,0.2946936578879964
"ASUS VivoBook Pro 15 OLED M6500QC-L1010W AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050/15.6""",Asus,1299.01,"Executive, Doctor",0.1579930411458798
"ASUS ROG Strix G15 G513RC-HF094 AMD Ryzen 7 6800H/16GB/512GB SSD/RTX3050/15.6""",Asus,1139.01,"Artist, Marketing",0.13496953702611153
"ASUS Chromebook CX1500CNA-EJ0100 Intel Celeron N3350/8GB/64GB eMMC/15.6""",Asus,399.0,Lawyer,0.028484391503175804
"HP 15S-fq5101ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",HP,789.0,"Lawyer, Homemaker",0.08460418279511096
"HP 15S-EQ2090NS AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",HP,599.01,"Artist, Entertainment",0.057265210621893624
HP Omen 16-b1022ns Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/16.1'',HP,1699.0,"Entertainment, Homemaker",0.215550362476293
"ASUS VivoBook 15 F1502ZA-EJ733 Intel Core i5-1235U/8GB/512GB SSD/15.6""",Asus,609.0,Marketing,0.058702740660371656
"Asus ZenBook 13 OLED UX325EA-KG245 Intel Core i7-1165G7/16GB/512GB SSD/13.3""",Asus,1089.0,Entertainment,0.12777325301967646
HP Victus 16-d1033ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/16.1'',HP,1399.0,Entertainment,0.1723812922517275
"HP 15S-fq5055ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",HP,899.01,"Lawyer, Engineer",0.10043428084645914
"HP 15S-eq2087ns AMD Ryzen 5 5500U/12GB/512GB SSD/15.6""",HP,549.0,"Lawyer, Engineer",0.05006892661545855
"Lenovo IdeaPad Gaming 3 15IHU6 Intel Core i5-11320H/16GB/512GB SSD/RTX3050/15.6""",Lenovo,929.0,Entertainment,0.1047497488999082
"MSI Creator M16 B13VE-682XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4050/16""",MSI,1899.01,"Executive, Doctor",0.2443311815950108
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",Lenovo,829.0,"Entertainment, Artist",0.09036005882505303
"HP 15S-fq2158ns Intel Core i3-1115G4/8GB/256GB SSD/15.6""",HP,449.0,Lawyer,0.035679236540603385
"Apple MacBook Air Apple M1/8GB/256GB SSD/GPU Hepta Core/13.3"" Gris Espacial",Apple,1219.0,"Artist, Entertainment",0.1464798501169882
"Lenovo ThinkBook 14 Intel Core i5-1135G7/8GB/256GB SSD/14""",Lenovo,699.0,"Homemaker, Healthcare",0.0716534617277413
"ASUS TUF Gaming A15 2023 FA507NV-LP041 AMD Ryzen 7 7735HS/16GB/1TB SSD/RTX 4060/15.6""",Asus,1349.0,Doctor,0.1651864472142999
"MSI Katana 15 B12VGK-094XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4070/15.6""",MSI,1699.0,Executive,0.215550362476293
"ASUS M515UA-EJ522W AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",Asus,699.0,"Entertainment, Homemaker",0.0716534617277413
"HP Victus 16-e0101ns AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3060/16.1""",HP,1299.01,"Lawyer, Executive",0.1579930411458798
"HP 250 G9 Intel Celeron N4500/8 GB/256GB SSD/15.6""",HP,399.0,Artist,0.028484391503175804
"HP OMEN 16-C0042NS AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050 Ti/16.1""",HP,1149.0,"Marketing, Entertainment",0.13640706706458958
"MSI Modern 15 B7M-041XES AMD Ryzen 5 7530U/16GB/512GB SSD/15.6""",MSI,839.0,Doctor,0.09179902783253854
"HP 255 G9 AMD Athlon 3020e/8GB/512GB SSD/15.6""",HP,379.0,"Marketing, Healthcare",0.02560645348820477
"ASUS VivoBook 15 F1500EA-EJ3022 Intel Core i7-1165G7/16GB/512GB SSD/15.6""",Asus,809.01,Lawyer,0.08748355977908948
"Lenovo V15 G2 ITL Intel Core i5-1135G7/8 GB/512 GB SSD/15.6""",Lenovo,779.0,Lawyer,0.08316521378762545
"ASUS VivoBook 15 F1500EA-EJ3023 Intel Core i7-1165G7/8GB/512GB SSD/15.6""",Asus,749.0,Doctor,0.0788483067651689
"MSI Thin GF63 12VE-009XES Intel Core i5-12450H/16GB/512GB SSD/RTX 4050/15.6""",MSI,1099.0,Artist,0.12921222202716198
"MSI Modern 15 B13M-281XES Intel Core i7-1355U/16GB/1TB SSD/15.6""",MSI,999.0,"Homemaker, Lawyer",0.11482253195230682
"HP 15S-eq2088ns AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",HP,649.01,Executive,0.06446005565932121
"MSI Vector GP77 13VG-021XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/17.3""",MSI,2499.0,"Lawyer, Engineer",0.3306678830751343
"ASUS VivoBook 15 F1500EA-EJ3067W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",Asus,859.0,"Artist, Homemaker",0.09467696584750958
"MSI Creator M16 B12UDX-809XES Intel Core i7-12650H/32GB/1TB SSD/RTX 3050/16""",MSI,1499.01,Healthcare,0.18677242129559013
"Apple Macbook Pro Apple M2/8GB/256GB SSD/GPU Deca Core/13.3"" Plata",Apple,1599.0,"Marketing, Executive",0.2011606724014378
"ASUS TUF Gaming A15 2023 FA507XI-LP024 AMD Ryzen 9 7940HS/32GB/512GB SSD/RTX 4070/15.6""",Asus,1699.01,Homemaker,0.21555180144530048
"MSI Katana 15 B13VFK-031XES Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/15.6""",MSI,1699.0,Executive,0.215550362476293
"HP Victus 16-d1021ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/16.1""",HP,1199.0,Executive,0.14360191210201714
"MSI Modern 14 C13M-426XES Intel Core i7-1355U/16GB/1TB SSD/14""",MSI,999.0,"Homemaker, Marketing",0.11482253195230682
"MSI Modern 15 B12M-430XES Intel Core i3-1215U/8GB/256GB SSD/15.6""",MSI,499.0,Lawyer,0.04287408157803097
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",Lenovo,499.0,"Doctor, Homemaker",0.04287408157803097
"MSI Prestige 14H B12UCX-414XES Intel Core i5-12450H/16GB/512GB SSD/RTX 2050/14""",MSI,999.0,Doctor,0.11482253195230682
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16GB/512 GB SSD/15.6""",Lenovo,749.0,"Engineer, Entertainment",0.0788483067651689
"Lenovo ThinkBook 15 G2 ITL Intel Core i5-1135G7/8 GB/256GB SSD/15.6"" Gris",Lenovo,879.0,"Artist, Marketing",0.09755490386248061
"MSI Prestige 14H B12UCX-413XES Intel Core i7-12650H/16GB/1TB SSD/RTX 2050/14""",MSI,1489.0,Executive,0.18533201331909713
"HP Pavilion 15-eg2004ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",HP,999.0,"Healthcare, Entertainment",0.11482253195230682
"HP Victus 15-fa0026ns Intel Core i5-12450H/16GB/512GB SSD/GTX 1650/15.6""",HP,999.0,"Marketing, Doctor",0.11482253195230682
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/8 GB/512GB SSD/15.6""",Lenovo,589.0,Marketing,0.05582480264540062
"Lenovo ThinkBook 14 G4 IAP Intel Core i5-1235U/8GB/256GB SSD/14""",Lenovo,959.0,"Healthcare, Marketing",0.10906665592236475
"HP Victus 15-fa0004ns Intel Core i5-12500H/16GB/512GB SSD/GTX 1650/15.6""",HP,1039.0,"Entertainment, Homemaker",0.12057840798224888
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/8GB/512GBSSD/15.6""",Lenovo,599.0,Healthcare,0.05726377165288614
"HP 15S-fq5094ns Intel Core i7-1255U/8GB/512GB SSD/15.6""",HP,739.01,Executive,0.07741077672669086
"MSI Stealth 16 Studio A13VF-038XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",MSI,2449.0,Entertainment,0.3234730380377067
"Acer Aspire 5 A515-57-76BV Intel Core i7-1255U/8GB/512GB SSD/15.6""",Acer,839.0,Homemaker,0.09179902783253854
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8 GB/256GB SSD/15.6""",Lenovo,499.0,"Marketing, Lawyer",0.04287408157803097
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/8 GB/512GB SSD/15.6""",Lenovo,699.0,Entertainment,0.0716534617277413
"MSI Pulse 15 B13VFK-448XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4060/15.6""",MSI,2399.01,"Lawyer, Healthcare",0.31627963196928666
"Lenovo IdeaPad 1 15ADA7 AMD 3020e/4GB/128GB SSD/15.6""",Lenovo,442.99,Doctor,0.034814416167104595
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",Lenovo,689.01,"Healthcare, Lawyer",0.07021593168926327
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/16 GB/512GB SSD/15.6""",Lenovo,749.0,Marketing,0.0788483067651689
"Lenovo IdeaPad 1 15ADA7 AMD 3020e/4GB/256GB SSD/15.6""",Lenovo,321.99,"Doctor, Engineer",0.01740289117652984
"MSI Modern 15 B11M-043XES Intel Core i5-1155G7/8GB/512GB SSD/15.6""",MSI,599.0,"Marketing, Healthcare",0.05726377165288614
"ASUS ZenBook 13 OLED UX325EA-KG448W Intel Core i7-1165G7/16GB/512GB SSD/13.3""",Asus,1199.0,"Doctor, Executive",0.14360191210201714
"ASUS TUF Gaming F15 FX506HF-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 2050/15.6""",Asus,949.0,Marketing,0.10762768691487923
"ASUS VivoBook F1605PA-MB125W Intel Core i5-11300H/16GB/512GB SSD/16""",Asus,799.0,Homemaker,0.08604315180259649
"Razer Blade 15 Advanced Model QHD Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/15.6""",Razer,3299.99,Marketing,0.4459278616057167
"Medion Akoya E15301 AMD Ryzen 7 3700U/8 GB/256GB SSD/15.6""",Medion,478.99,Engineer,0.03999470459405245
"ASUS ExpertBook B1 B1502CBA-EJ0469X Intel Core i5-1235U/8GB/256GB SSD/15.6""",Asus,989.0,Doctor,0.1133835629448213
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8 GB/256GB SSD/15.6""",Lenovo,439.99,Healthcare,0.03438272546485894
"HP 15S-eq2089ns AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",HP,529.0,"Executive, Lawyer",0.047190988600487524
"ASUS VivoBook F1605PA-MB143 Intel Core i7-11370H/8GB/512GB SSD/16""",Asus,709.0,Executive,0.07309243073522682
"ASUS Vivobook Go E1504FA-BQ204W AMD Ryzen 5 7520U/8GB/512GB SSD/Radeon 610M/15.6""",Asus,509.99,"Artist, Entertainment",0.044455508517257554
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",Lenovo,659.0,"Engineer, Homemaker",0.06589758569779924
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16GB/512GBSSD/15.6""",Lenovo,749.0,"Lawyer, Artist",0.0788483067651689
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/8GB/512 GB SSD/15.6""",Lenovo,589.0,"Homemaker, Doctor",0.05582480264540062
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",Lenovo,549.0,"Doctor, Artist",0.05006892661545855
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8GB/256 GB SSD/15.6""",Lenovo,459.0,"Artist, Engineer",0.0371182055480889
"ASUS VivoBook F1605PA-MB124W Intel Core i7-11370H/8GB/512GB SSD/16""",Asus,819.0,Artist,0.08892108981756751
"ASUS VivoBook F1605PA-MB146 Intel Core i5-11300H/8GB/512GB SSD/16""",Asus,609.01,"Lawyer, Homemaker",0.05870417962937914
"ASUS ZenBook 14 UM425QA-KI252 AMD Ryzen 7 5800H/16GB/512GB SSD/14""",Asus,999.0,"Artist, Homemaker",0.11482253195230682
"Acer Aspire 3 A315-59-504M Intel Core i5-1235U/16GB/512GB SSD/15.6""",Acer,739.01,"Healthcare, Lawyer",0.07741077672669086
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",Lenovo,1399.0,Lawyer,0.1723812922517275
"ASUS VivoBook F1500EA-EJ3070W Intel Core i5-1135G7/16GB/512GB SSD/15.6""",Asus,759.01,Artist,0.0802887147416619
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",Lenovo,729.0,"Artist, Engineer",0.07597036875019786
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/16GB/512GB SSD/15.6""",Lenovo,749.0,"Artist, Lawyer",0.0788483067651689
"HP 255 G9 AMD Athlon 3020e/8GB/256GB SSD/15.6""",HP,349.0,"Homemaker, Marketing",0.021289546465748217
"Lenovo IdeaPad 3 15ITL6 Intel Core i3-1115G4/8 GB/256GBSSD/15.6""",Lenovo,479.0,"Marketing, Lawyer",0.03999614356305994
"HP 255 G9 AMD Ryzen 5 5625U/16GB/512 GB SSD/15.6""",HP,873.29,Healthcare,0.09673325255920638
"Lenovo IdeaPad 5 15ALC05 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",Lenovo,589.0,"Healthcare, Engineer",0.05582480264540062
"ASUS Chromebook CX1400CKA-EK0138 Intel Celeron N4500/8GB/64GB eMMC/14""",Asus,399.01,Entertainment,0.028485830472183286
"Lenovo Legion 5 15ACH6H AMD Ryzen 7 5800H/16GB/512GB SSD/RTX3050Ti/15.6""",Lenovo,1079.01,Marketing,0.12633572298119844
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1135G7/8GB/512GB SSD/15.6"" Azul",Lenovo,649.0,Lawyer,0.06445861669031372
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050Ti/15.6""",Lenovo,999.0,Engineer,0.11482253195230682
"Lenovo ThinkBook 14 G2 ITL Intel Core i5-1135G7/16 GB/512GB SSD/14""",Lenovo,1019.0,Entertainment,0.11770046996727784
"MSI Pulse GL76 12UEK-828XES Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/17.3""",MSI,1499.0,Entertainment,0.18677098232658265
"Apple Macbook Air Apple M2/8GB/256GB SSD/GPU Octa Core/13.6"" Gris Espacial",Apple,1519.0,Engineer,0.1896489203415537
"Acer Aspire 3 A317-53-53U0 Intel Core i5-1135G7/8GB/512GB SSD/17.3""",Acer,729.0,"Entertainment, Engineer",0.07597036875019786
"MSI Raider GE68HX 13VF-045XES Intel Core i9-13950HX/32GB/1TB SSD/RTX 4060/16""",MSI,2599.0,Homemaker,0.34505757314998947
"HP 15S-fq4042ns Intel Core i7-1195G7/8GB/512GB SSD/15.6""",HP,699.0,Doctor,0.0716534617277413
"Lenovo Legion 5 15IAH7H Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",Lenovo,1599.0,Engineer,0.2011606724014378
"HP ProBook 450 G8 Intel Core i5-1135G7/8 GB/256GB SSD/15.6""",HP,739.01,Marketing,0.07741077672669086
"ASUS VivoBook 15 F1500EA-EJ3021 Intel Core i5-1135G7/16GB/512GB SSD/15.6""",Asus,709.0,"Engineer, Entertainment",0.07309243073522682
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16 GB/512GB SSD/RTX3050Ti/15.6""",Lenovo,1059.0,"Homemaker, Entertainment",0.12345634599721991
"MSI Modern 14 C13M-447XES Intel Core i5-1335U/16GB/512GB SSD/14""",MSI,799.0,Marketing,0.08604315180259649
"MSI Modern 14 C12M-017XES Intel Core i7-1255U/16GB/512GB SSD/14""",MSI,999.0,"Lawyer, Entertainment",0.11482253195230682
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16 GB/512GB SSD/15.6""",Lenovo,899.0,Homemaker,0.10043284187745165
"MSI Pulse 15 B13VGK-433XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/15.6""",MSI,2299.0,Entertainment,0.30188850292542396
MSI Stealth 15 A13VF-028XES Intel Core i7-13620H/32GB/1TB SSD/RTX 4060/15.6'',MSI,1899.0,"Doctor, Healthcare",0.24432974262600332
"ASUS Chromebook CX1400FKA-EC0078 Intel Celeron N4500/8GB/64GB eMMC/14"" Táctil",Asus,449.0,Healthcare,0.035679236540603385
"Lenovo V15 G2 ITL Intel Core i5-1135G7/16 GB/512GB SSD/15.6""",Lenovo,699.0,Engineer,0.0716534617277413
"ASUS Chromebook CX1400CNA-BV0210 Intel Celeron N3350/8GB/32GB/14""",Asus,349.0,Healthcare,0.021289546465748217
"MSI Vector GP68HX 12VH-009XES Intel Core i9-12900HX/32GB/1TB SSD/RTX 4080/16""",MSI,2599.0,Marketing,0.34505757314998947
"HP 15S-fq5075ns Intel Core i5-1235U/8GB/512GB SSD/15.6""",HP,579.01,Doctor,0.05438727260692259
"Acer Aspire 3 A315-59-56GV Intel Core i5-1235U/8GB/512GB SSD/15.6""",Acer,749.0,Healthcare,0.0788483067651689
"ASUS ExpertBook P1512CEA-EJ0083X Intel Core i3-1115G4/8GB/256GB SSD/15.6""",Asus,549.0,Executive,0.05006892661545855
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16GB/512GB SSD/RTX3050/15.6""",Lenovo,979.0,"Lawyer, Homemaker",0.11194459393733579
"ASUS ZenBook 14 OLED UM3402YA-KM513 AMD Ryzen 5 7530U/16GB/512GB SSD/14""",Asus,969.0,"Homemaker, Artist",0.11050562492985026
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16GB/512GB SSD/RTX3050/15.6""",Lenovo,1099.0,Doctor,0.12921222202716198
"Lenovo Legion 5 15ITH6H Intel Core i5-11400H/16GB/512GB SSD/RTX3060/15.6""",Lenovo,1319.01,Lawyer,0.16087097916085083
"Lenovo IdeaPad Flex 5 14ALC05 AMD Ryzen 5 5500U/16GB/512GB SSD/14"" Táctil",Lenovo,799.0,Doctor,0.08604315180259649
"Apple MacBook Air Apple M1/8GB/256GB SSD/GPU Hepta Core/13.3"" Plata",Apple,1219.0,Marketing,0.1464798501169882
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16 GB/512GB SSD/GTX1650/15.6""",Lenovo,879.0,"Marketing, Lawyer",0.09755490386248061
"MSI Prestige 14H B12UCX-427XES Intel Core i7-12650H/32GB/1TB SSD/RTX 2050/14""",MSI,1359.0,Marketing,0.16662541622178542
"ASUS F515EA-EJ1858W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",Asus,839.0,"Artist, Engineer",0.09179902783253854
"Gigabyte G5 KF-E3ES313SD Intel Core i5-12500H/16GB/512GB SSD/RTX 4060/15.6""",Gigabyte,1109.0,Lawyer,0.1306511910346475
"HP ChromeBook 14b-na0017ns AMD Ryzen 3 3250C/8GB/128GB SSD/14""",HP,579.01,"Entertainment, Doctor",0.05438727260692259
"Dell Vostro 3510 Intel Core i3-1115G4/8 GB/256GB SSD/15.6""",Dell,599.0,"Executive, Healthcare",0.05726377165288614
"Apple Macbook Air Apple M2/8GB/256GB SSD/GPU Octa Core/13.6"" Plata",Apple,1519.0,Lawyer,0.1896489203415537
"ASUS TUF Gaming A15 2023 FA507NV-LP031W AMD Ryzen 7 7735HS/16GB/512GB SSD/RTX 4060/15.6""",Asus,1349.0,"Lawyer, Engineer",0.1651864472142999
"MSI Thin GF63 12UDX-042XES Intel Core i5-12450H/16GB/512GB SSD/RTX 3050/15.6""",MSI,999.0,Homemaker,0.11482253195230682
"Lenovo Ideapad Gaming 3 Gen 6 Intel Core i5-11320H/16GB/512GB SSD/GTX 1650/15.6""",Lenovo,829.01,Engineer,0.09036149779406051
"Lenovo Legion 5 15IAH7H Intel Core i7-12700H/16GB/1TB SSD/RTX3060/15.6""",Lenovo,1569.01,"Doctor, Entertainment",0.19684520434798874
"HP 15S-EQ2086NS AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",HP,479.0,Homemaker,0.03999614356305994
"HP Essential 255 G8 AMD 3020e/8GB/256GB SSD/15.6""",HP,339.0,"Healthcare, Artist",0.019850577458262703
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16 GB/512 GB SSD/GTX 1650/15.6""",Lenovo,779.01,"Marketing, Healthcare",0.08316665275663293
"Medion Akoya E14301 AMD Ryzen 5 3500U/4GB/256GB SSD/14""",Medion,499.0,Healthcare,0.04287408157803097
"ASUS Vivobook 14 F1402ZA-EK610 Intel Core i3-1215U/8GB/256GB SSD/14""",Asus,459.0,"Marketing, Artist",0.0371182055480889
"MSI Modern 14 C12M-077XES Intel Core i7-1255U/16GB/1TB SSD/14""",MSI,999.0,Lawyer,0.11482253195230682
"ASUS ROG Strix G15 G513RM-HQ012 AMD Ryzen 7 6800H/16GB/1TB SSD/RTX3060/15.6""",Asus,1899.0,"Homemaker, Healthcare",0.24432974262600332
"MSI Modern 15 B13M-280XES Intel Core i5-1335U/16GB/512GB SSD/15.6""",MSI,819.0,"Artist, Entertainment",0.08892108981756751
"HP 15S-eq2091ns AMD Ryzen 7 5700U/12GB/512GB SSD/15.6""",HP,749.0,"Marketing, Engineer",0.0788483067651689
"Lenovo Ideapad Duet 5 Chromebook Qualcomm Snapdragon 7c/8GB/128GB eMMC/13.3"" Táctil",Lenovo,599.0,"Healthcare, Artist",0.05726377165288614
"Acer Nitro 5 AN515-47-R5K6 AMD Ryzen 5 7535HS/16GB/1TB SSD/RTX 3050Ti/15.6""",Acer,1199.0,Entertainment,0.14360191210201714
"Lenovo V15 G2 ITL Intel Core i3-1115G4/8 GB/512 GB SSD/15.6""",Lenovo,449.0,Artist,0.035679236540603385
"MSI Prestige 16 Studio A13VF-042XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",MSI,1999.0,Marketing,0.2587194327008585
"HP 15S-EQ1158NS AMD 3020e/4GB/128GB SSD/15.6""",HP,379.0,"Homemaker, Healthcare",0.02560645348820477
"Lenovo IdeaPad 3 15ITL6 Intel Core i3-1115G4/8GB/256GB SSD/15.6"" Azul",Lenovo,529.0,Artist,0.047190988600487524
